date,strain_score,skin_temperature,avg_heart_rate,heart_rate_variability,max_heart_rate,resting_heart_rate,blood_oxygenation,total_calories_burned,recovery_score,deep_sleep,deep_sleep_percent,light_sleep,light_sleep_percent,nap_count,nap_sleep,rem_sleep,rem_sleep_percent,sleep_end_time,sleep_score,sleep_start_time,time_awake,time_in_bed,total_sleep,sleep_consistency,sleep_cycles,sleep_disturbances,sleep_disturbances_/_hour,sleep_disturbances_duration,sleep_onset_latency,sleep_respiratory_rate,time_asleep_percent,time_awake_percent,day_of_week,nap,recovery_level_cat
2019-07-25,10.33082297,,73.0,74.15729,163.0,59.0,,2411.528432,87.0,1.6332875,22.47791655,4.949862778,68.12187226,,,0.683036944,9.400211191,18.76666667,82.0,10.51666667,0.983305556,8.249481667,7.266187222,,2.0,17.0,2.060735533,35.71561667,0.9833,16.523438,88.08041195,11.91958805,Thursday,False,green
2019-07-26,10.9254094,,68.0,58.432747,170.0,58.0,,2531.007493,55.0,2.058275278,24.97556724,4.499593056,54.59905685,,,1.683286944,20.42537591,19.66666667,93.0,10.56666667,0.866643056,9.107786111,8.241155278,,6.0,8.0,0.878369332,16.86618333,0.9833,16.611328,90.48460425,9.51539575,Friday,False,yellow
2019-07-27,12.44350697,,72.0,,160.0,,,2989.699413,,,,,,2.0,4.260540278,,,,,,,,,,,,,,,,,,Saturday,True,
2019-09-01,4.203563348,,66.0,,140.0,,,347.4880532,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,False,
2019-09-02,7.438210926,,66.0,70.758134,145.0,57.0,,2021.258907,48.0,0.899975556,20.37782905,2.891484167,65.47085605,1.0,8.463288056,0.624985,14.1513149,16.26666667,53.0,11.41666667,0.441653889,4.858092778,4.416444722,,1.0,8.0,1.646736768,19.86608333,0.0,17.050781,90.9089147,9.091085304,Monday,True,yellow
2019-09-04,6.882283482,,64.0,61.29047,162.0,64.0,,1166.680827,48.0,0.283324444,29.74625936,0.669146389,70.25374064,1.0,4.6184775,0.0,0.0,4.883333333,81.0,3.883333333,0.049998889,1.002468889,0.952470833,,0.0,1.0,0.997537192,2.98325,0.0,16.40625,95.01242903,4.987570974,Wednesday,True,yellow
2019-09-17,12.87006561,,79.0,96.041285,161.0,56.0,,3414.589993,67.0,0.824977222,16.52773525,3.64151,72.95463629,,,0.524984444,10.51762846,8.533333333,58.0,2.916666667,0.624982222,5.616445,4.991471667,,1.0,13.0,2.314631408,27.2825,1.4833,16.523438,88.87229853,11.12770147,Tuesday,False,green
2019-09-18,6.199076565,,68.0,38.08984,161.0,68.0,,2277.082337,31.0,1.574954444,22.44744572,4.599588611,65.55682678,,,0.8416425,11.9957275,8.283333333,72.0,0.783333333,0.474985833,7.491160556,7.016185556,,1.0,9.0,1.20141598,20.84936667,1.483283333,17.490234,93.65939172,6.34060828,Wednesday,False,red
2019-09-19,9.692375689,,71.0,64.94587,150.0,61.0,,2545.954921,54.0,1.883280833,19.98247094,5.833098889,61.8918469,,,1.708284722,18.12568216,14.3,100.0,4.15,0.724978611,10.14962944,9.424664444,,7.0,20.0,1.970515289,41.66543333,1.483283333,15.761719,92.85710239,7.142897609,Thursday,False,yellow
2019-09-20,10.42390932,,71.0,60.055904,162.0,62.0,,2778.765414,46.0,1.058303889,18.30059853,4.041274167,69.88326967,,,0.683314167,11.8161318,16.11666667,73.0,10.11666667,0.208326944,5.991215278,5.782892222,17.0,3.0,5.0,0.834555223,12.41628333,0.0,16.757812,96.52279547,3.477204533,Friday,False,yellow
2019-09-21,7.544334034,,69.0,65.68176,152.0,68.0,,2453.661596,44.0,1.249965556,27.17482493,2.724645,59.23503296,,,0.625108333,13.5901421,14.91666667,51.0,9.716666667,0.599981667,5.199693333,4.599718889,45.0,5.0,7.0,1.346233239,15.38283333,0.0,17.109375,88.46122656,11.53877344,Saturday,False,yellow
2019-09-22,7.046206356,,70.0,66.965476,152.0,61.0,,1487.637638,51.0,1.541621111,25.79115545,3.802667222,63.61821382,1.0,1.284131389,0.633036389,10.59063073,16.61666667,71.0,10.05,0.591649444,6.568965833,5.977324722,67.0,1.0,10.0,1.522309638,20.83271667,1.983266667,16.875,90.99327491,9.00672509,Sunday,True,yellow
2019-09-24,8.152294346,,70.0,48.551913,160.0,61.0,,2028.826332,40.0,1.283296389,22.61489345,2.866588333,50.51645925,1.0,2.757978889,1.524678333,26.8686473,7.966666667,61.0,2.033333333,0.266659167,5.941212222,5.674563056,12.0,3.0,7.0,1.178210732,14.38288333,1.4833,16.582031,95.51171196,4.488288044,Tuesday,True,yellow
2019-09-25,5.268183135,,66.0,62.903866,162.0,60.0,,1367.944779,64.0,0.458319722,9.136714336,3.416565833,68.1100649,1.0,2.899637778,1.141356667,22.75322076,10.8,76.0,5.416666667,0.375258333,5.391495833,5.016242222,31.0,3.0,7.0,1.298340983,14.88286667,1.483283333,16.40625,93.03981648,6.960183523,Wednesday,True,yellow
2019-10-22,4.526783562,,70.0,,137.0,,,390.7197037,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,False,
2019-10-23,6.19201951,,67.0,65.644614,157.0,68.0,,2680.048576,53.0,1.191663056,15.46002433,5.733035,74.37745104,1.0,3.033045833,0.783330278,10.16252463,1.733333333,92.0,-6.533333333,0.566664722,8.274448611,7.708028333,,3.0,15.0,1.812809615,29.24988333,0.0,16.699219,93.15183393,6.84816607,Wednesday,True,yellow
2019-10-24,10.13568446,,70.0,45.440983,173.0,65.0,,3371.345826,36.0,0.841663889,22.44611951,2.483045556,66.21970838,1.0,3.524709722,0.424998333,11.33417211,4.6,74.0,0.766666667,0.075,3.824707778,3.749707778,,1.0,2.0,0.522915767,4.466666667,0.0,17.43164,98.03906587,1.960934125,Thursday,True,yellow
2019-10-25,9.832892607,,76.0,,163.0,,,2420.263579,,0.691664167,13.49730687,3.316133611,64.71185748,,,1.116662778,21.79083565,20.71666667,58.0,15.15,0.433331389,5.557791389,5.124460556,53.0,3.0,6.0,1.079565529,12.39995,1.983316667,17.753906,92.20317361,7.796826388,Friday,False,
2019-10-26,4.355811922,,68.0,40.26517,144.0,68.0,,1781.719142,30.0,,,,,1.0,4.899461667,,,,,,,,,,,,,,,,,,Saturday,True,red
2019-10-29,7.676954067,,67.0,74.04361,158.0,58.0,,2601.870827,59.0,2.099938889,23.77432926,5.274569722,59.71571742,,,1.458291111,16.50995332,6.25,95.0,-3.35,0.696925833,9.602210556,8.832799722,,4.0,16.0,1.666282978,40.89883333,0.0,16.347656,92.68682157,7.313178425,Tuesday,False,yellow
2019-10-30,11.61901835,,72.0,67.35368,163.0,60.0,,2700.08888,35.0,0.233048333,14.34430721,0.883307222,54.36825047,1.0,8.374466389,0.508319167,31.28744232,3.4,20.0,1.55,0.224993056,1.849666667,1.624674722,,1.0,5.0,2.703189764,13.41625,0.0,15.703125,87.83602881,12.16397119,Wednesday,True,yellow
2019-10-31,6.932937074,,71.0,72.88601,160.0,69.0,,1741.68183,59.0,0.733311944,22.73999034,1.958276389,60.72611596,,,0.533179722,16.5338937,14.46666667,100.0,11.1,0.1416625,3.366427778,3.224768056,,1.0,4.0,1.188203123,8.433083333,0.0,17.768555,95.79190785,4.208092152,Thursday,False,yellow
2019-11-01,5.980823829,,73.0,73.3408,159.0,60.0,,1714.113312,38.0,0.191661667,15.43975586,1.04969,84.56024414,1.0,3.932939167,0.0,0.0,5.916666667,16.0,4.566666667,0.116663056,1.358013889,1.241351667,49.0,0.0,3.0,2.209108482,6.949783333,0.0,15.556641,91.40929375,8.590706245,Friday,True,yellow
2019-11-02,1.126127808,,65.0,84.35492,114.0,63.0,,704.4723832,93.0,1.716617222,25.97840082,3.924607778,59.39299256,,,0.966638333,14.62860662,5.266666667,93.0,-1.766666667,0.424987222,7.032840833,6.607863333,34.0,3.0,11.0,1.564090566,22.81595,2.48325,17.226562,93.95711285,6.042887146,Saturday,False,green
2019-11-03,4.239084254,,74.0,,151.0,,,613.3948011,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,False,
2019-11-04,9.554935318,,74.0,47.20724,159.0,64.0,,2370.418045,49.0,1.741617778,21.77157992,5.249578056,65.62381807,,,1.008305278,12.60460201,10.71666667,99.0,1.883333333,0.824978333,8.8244675,7.999501111,20.0,5.0,15.0,1.699819281,32.2491,0.0,16.347656,90.65125214,9.348747861,Monday,False,yellow
2019-11-05,9.953504091,,72.0,83.158046,153.0,61.0,,2717.134377,66.0,0.166384167,19.58156378,0.649981667,76.49560481,1.0,7.349684722,0.033332222,3.922831411,5.016666667,11.0,4.016666667,0.158329167,1.008025278,0.849698056,,1.0,1.0,0.992038615,1.983283333,0.0,16.201172,84.29316558,15.70683442,Tuesday,True,yellow
2019-11-06,7.06891627,,71.0,49.30835,154.0,68.0,,1557.885952,52.0,1.416625556,18.93165848,4.966521667,66.37215576,,,1.099691944,14.69618577,17.71666667,100.0,9.716666667,0.516651111,7.999479444,7.482839167,,5.0,10.0,1.250081342,21.33268333,1.483283333,16.875,93.5414496,6.458550397,Wednesday,False,yellow
2019-11-07,5.409149888,,70.0,49.265794,137.0,63.0,,1388.292243,42.0,0.933305,21.0526296,3.041574722,68.60902495,,,0.458319444,10.33834545,15.75,57.0,11.0,0.308323889,4.741518889,4.433199167,39.0,1.0,8.0,1.687223058,16.86613333,1.483283333,16.904297,93.49736603,6.50263397,Thursday,False,yellow
2019-11-08,4.440685087,,73.0,,134.0,,,1376.711669,,,,,,1.0,2.433093056,,,,,,,,,,,,,,,,,,Friday,True,
2019-11-09,5.394605563,,68.0,52.45017,162.0,63.0,,1944.25518,53.0,1.658287778,25.67855069,3.924886389,60.77678158,,,0.874697222,13.54466773,10.41666667,92.0,3.8,0.158328889,6.616191944,6.457871389,,3.0,5.0,0.755721727,9.416383333,0.0,16.552734,97.60695139,2.393048612,Saturday,False,yellow
2019-11-10,7.301688961,,68.0,52.43078,156.0,63.0,,1847.44782,55.0,1.108398889,13.04063598,6.399539444,75.29244674,,,0.991638611,11.66691728,13.18333333,100.0,4.383333333,0.299991667,8.7995575,8.499576944,42.0,4.0,9.0,1.022778702,16.84951667,0.9833,16.259766,96.59083667,3.409163334,Sunday,False,yellow
2019-11-11,8.070493621,,70.0,60.515802,162.0,64.0,,1861.030185,67.0,0.6416475,15.04003993,2.016328333,47.26217845,1.0,4.084215556,1.608286111,37.69778162,6.55,55.0,2.05,0.24166,4.507919167,4.266261944,31.0,3.0,4.0,0.887327357,12.43296667,1.983283333,15.761719,94.63921508,5.360784924,Monday,True,green
2019-11-18,10.6646043,,93.0,,162.0,,,963.6906173,,,,,,,,,,,,,,,,,,,,,,,,,Monday,False,
2019-11-19,6.643234952,,66.0,74.178204,157.0,60.0,,1532.721262,83.0,1.433293611,22.90314254,4.341452222,69.37371263,1.0,0.883031667,0.483319444,7.723144822,18.03333333,65.0,11.0,0.783311667,7.041365556,6.258065278,,2.0,12.0,1.704214886,24.79928333,1.4833,16.171875,88.87558963,11.12441037,Tuesday,True,green
2019-11-20,9.864705023,,70.0,77.69569,167.0,58.0,,2070.96113,98.0,2.158268333,21.69238716,5.658165556,56.86925761,1.0,1.074688056,2.132993611,21.43835523,17.48333333,100.0,6.9,0.633315278,10.58273444,9.9494275,,8.0,11.0,1.039428898,24.31593333,0.9833,16.142578,94.0155847,5.984415298,Wednesday,True,green
2019-11-21,7.33196982,,67.0,54.85348,155.0,60.0,,1746.452025,60.0,2.266601389,32.11461169,3.632949722,51.47388076,,,1.158299722,16.41150755,18.56666667,89.0,10.7,0.799976944,7.857816389,7.057850833,,2.0,12.0,1.527141817,25.29923333,1.483283333,16.171875,89.81936272,10.18063728,Thursday,False,yellow
2019-11-25,8.587106098,,72.0,61.00939,165.0,60.0,,1630.397585,66.0,1.366627222,25.82812639,2.932971389,55.43073817,,,0.991637778,18.74113543,17.16666667,64.0,11.15,0.7249775,6.016206667,5.291236389,,2.0,8.0,1.329741554,16.86613333,2.48325,16.02539,87.94960563,12.05039437,Monday,False,yellow
2019-11-26,12.657483,,71.0,,160.0,,,3026.909152,,1.966609722,15.63984365,8.882797778,70.64216495,,,1.724949167,13.7179914,19.16666667,100.0,4.583333333,2.008272222,14.58261222,12.57435667,,8.0,20.0,1.371496389,45.66521667,0.0,16.201172,86.22832524,13.77167476,Tuesday,False,
2019-11-27,5.615377941,,68.0,84.01584,148.0,63.0,,1463.930907,98.0,0.299990833,9.254921755,2.408110278,74.29184402,1.0,3.707939167,0.533318333,16.45323422,15.01666667,40.0,11.51666667,0.258326111,3.49974,3.241419444,,1.0,8.0,2.285884094,15.36618333,0.0,16.582031,92.61871736,7.381282639,Wednesday,True,green
2019-11-28,7.407232807,,68.0,,152.0,,,2051.388101,,,,,,2.0,5.240955556,,,,,,,,,,,,,,,,,,Thursday,True,
2019-11-29,7.706364771,,67.0,93.392625,151.0,60.0,,2132.170405,93.0,0.308324167,9.431546351,2.166604722,66.27580667,1.0,2.799395556,0.794144444,24.29264698,9.133333333,67.0,5.683333333,0.183327778,3.452398889,3.269073333,25.0,1.0,4.0,1.15861467,9.43305,1.483283333,16.78711,94.6898471,5.310152902,Friday,True,green
2019-11-30,5.108187247,,66.0,68.57439,146.0,63.0,,1789.852573,45.0,0.183328333,17.05869566,0.891363056,82.94130434,2.0,9.043624167,0.0,0.0,8.216666667,25.0,6.983333333,0.149995278,1.224686111,1.074691389,53.0,0.0,1.0,0.816535756,1.983266667,2.48325,17.021484,87.7523548,12.2476452,Saturday,True,yellow
2019-12-02,6.589573293,,70.0,60.45077,158.0,61.0,,968.5384776,56.0,1.5082875,28.46062345,2.407980833,45.43738231,,,1.383290556,26.10199423,1.533333333,100.0,-4.1,0.341656389,5.641212778,5.299558889,,5.0,9.0,1.595401619,18.84943333,1.483283333,16.816406,93.94356762,6.056432383,Monday,False,yellow
2019-12-03,3.466703066,,63.0,53.70971,127.0,62.0,,1291.583497,47.0,2.124938889,17.6108985,8.716143889,72.23695991,,,1.224961944,10.15214159,16.8,100.0,3.716666667,1.008304444,13.07433083,12.06604472,,5.0,18.0,1.376743501,37.69888333,1.483283333,16.611328,92.28791864,7.712081356,Tuesday,False,yellow
2019-12-04,7.185025,,71.0,69.57434,156.0,60.0,,1447.121031,40.0,2.081871667,26.36105161,5.116706667,64.78870465,,,0.698950556,8.850243733,22.31666667,71.0,13.51666667,0.908848333,8.795938333,7.897528889,33.0,4.0,14.0,1.591643719,29.6402,1.425933333,15.703125,89.67965702,10.32034298,Wednesday,False,yellow
2019-12-05,7.403296068,,69.0,84.93994,154.0,60.0,,1961.012189,83.0,1.374633889,21.27106498,4.123630556,63.80899978,,,0.964194722,14.91993523,19.5,70.0,12.8,0.240915556,6.695086944,6.462459167,37.0,3.0,4.0,0.597453033,12.43288333,1.922616667,16.054688,96.40605567,3.593944327,Thursday,False,green
2019-12-06,7.943379655,,72.0,60.54257,163.0,62.0,,2034.29709,44.0,0.651084444,15.02714196,2.950068056,68.08808266,1.0,3.673081944,0.731570556,16.88477538,17.55,47.0,12.83333333,0.377284444,4.704518611,4.332723056,45.0,1.0,5.0,1.062807997,11.95223333,1.425933333,16.464844,91.98972731,8.010272689,Friday,True,yellow
2019-12-07,7.71406789,,68.0,,153.0,,,2161.46588,,0.965265556,16.11681953,4.30118,71.81582458,,,0.722735833,12.06735589,21.1,97.0,14.68333333,0.434235556,6.415373333,5.989181389,35.0,1.0,9.0,1.402880165,18.64933333,1.425933333,16.96289,93.23980431,6.760195692,Saturday,False,
2019-12-08,7.755967284,,68.0,99.742614,161.0,55.0,,2438.495001,98.0,,,,,,,,,,,,,,,,,,,,,,,,Sunday,False,green
2019-12-09,7.591583014,,68.0,59.168667,155.0,67.0,,1582.635766,42.0,1.502979722,26.18440062,3.497141667,60.92601055,1.0,4.407584722,0.73986,12.88958883,2.2,72.0,-3.966666667,0.435303333,6.167570278,5.739981389,23.0,3.0,12.0,1.945660845,25.89115,0.0,16.582031,92.95087833,7.049121667,Monday,True,yellow
2019-12-10,6.002190678,,67.0,59.72295,137.0,65.0,,1496.815435,48.0,1.030236667,19.15198307,3.874688611,72.03002287,1.0,2.55594,0.474343611,8.81799406,8.45,100.0,2.283333333,0.803230278,6.175314167,5.379268889,17.0,1.0,11.0,1.781285891,21.94976667,0.0,16.552734,87.00800023,12.99199977,Tuesday,True,yellow
2019-12-11,10.9164409,,76.0,,151.0,,,2123.635287,,0.877295278,24.44683199,1.809124722,50.41332063,2.0,2.870905556,0.902164722,25.13984738,21.93333333,70.0,17.85,0.51472,4.098095,3.588584722,,4.0,9.0,2.196142354,18.6493,1.44195,15.5859375,87.45596453,12.54403547,Wednesday,True,
2019-12-12,9.154854154,,73.0,67.58904,159.0,63.0,,2139.466849,59.0,,,,,1.0,4.390473889,,,,,,,,,,,,,,,,,,Thursday,True,yellow
2019-12-13,,,,38.44924,,68.0,,,23.0,0.675418889,29.27690673,1.374368889,59.57379996,1.0,6.828503056,0.257214444,11.14929331,16.56666667,50.0,14.15,0.104815556,2.408869167,2.307002222,45.0,1.0,2.0,0.8302651,4.806516667,1.425933333,17.548828,95.65408479,4.345915206,Friday,True,red
2019-12-14,7.117876673,,71.0,,170.0,,,1536.028481,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,False,
2019-12-15,4.330374209,,65.0,58.15626,150.0,65.0,,1220.106661,59.0,1.719818611,26.61416778,3.437380278,53.19340938,1.0,3.008354722,1.304842778,20.19242285,5.633333333,100.0,-1.233333333,0.4176575,6.871325278,6.462041667,23.0,5.0,9.0,1.309790999,17.67195,1.425933333,16.347656,93.92913135,6.070868651,Sunday,True,yellow
2019-12-16,4.81026132,,67.0,62.050134,151.0,64.0,,1642.88015,64.0,1.559666667,33.7344177,2.018223611,43.65265975,,,1.045478889,22.61292255,16.36666667,97.0,11.4,0.345998056,4.962735278,4.623369167,,1.0,2.0,0.403003563,5.255116667,1.425933333,16.582031,93.03738202,6.962617977,Monday,False,yellow
2019-12-17,,,,,,,,,,,,,,1.0,7.39376,,,,,,,,,,,,,,,,,,Tuesday,True,
2019-12-18,6.202764408,,75.0,79.81668,150.0,65.0,,1436.931778,83.0,0.482365,18.12891102,1.848697778,69.48032614,1.0,3.182961667,0.329687222,12.39076284,6.1,100.0,3.016666667,0.426480833,3.083384722,2.66075,,1.0,5.0,1.621594595,11.50366667,0.0,15.058594,86.18565127,13.81434873,Wednesday,True,green
2019-12-19,10.31133548,,79.0,36.11201,158.0,69.0,,2146.219228,33.0,0.586112778,16.92021252,2.475985833,71.47806377,,,0.401881389,11.60172371,13.91666667,75.0,10.3,0.160699444,3.619846111,3.46398,,1.0,4.0,1.105019351,8.123016667,1.425933333,17.34375,95.56651983,4.433480171,Thursday,False,red
2019-12-20,12.42844323,,80.0,38.38942,160.0,68.0,,2464.377876,27.0,0.948155278,23.15997791,2.985084167,72.91472712,1.0,6.256026111,0.160699167,3.925294977,14.91666667,46.0,10.48333333,0.345730833,4.4340175,4.093938611,60.0,1.0,7.0,1.578703738,14.32343333,1.441966667,16.933594,92.21268976,7.787310241,Friday,True,red
2019-12-22,5.642962788,,71.0,68.11555,150.0,66.0,,1361.212707,87.0,1.745230556,23.33656283,4.430320556,59.24057063,1.0,2.217961111,1.302973333,17.42286654,8.583333333,100.0,0.133333333,0.981576111,8.449600556,7.478524444,,4.0,22.0,2.603673375,48.32156667,1.441966667,16.757812,88.3975834,11.6024166,Sunday,True,green
2019-12-23,7.081785184,,78.0,74.84721,164.0,61.0,,1442.724283,84.0,0.7951975,25.35787624,2.340701944,74.64212376,,,0.0,0.0,14.85,56.0,11.4,0.313110833,3.444675,3.135899444,,0.0,5.0,1.451515745,8.58765,0.945283333,16.904297,90.92171933,9.078280669,Monday,False,green
2019-12-24,4.326239536,,70.0,53.820852,131.0,67.0,,1727.68529,53.0,1.552445,25.22707884,4.3364575,70.46700864,1.0,1.696969722,0.264980833,4.305912527,11.08333333,65.0,4.183333333,0.748681944,6.8936225,6.153883333,24.0,2.0,13.0,1.88580097,25.37843333,0.945283333,16.992188,89.15356952,10.84643048,Tuesday,True,yellow
2019-12-25,6.975747148,,71.0,58.412246,157.0,68.0,,1902.461502,64.0,1.624103333,19.03896344,5.869658333,68.80855923,,,1.036657222,12.15247734,12.16666667,100.0,2.7,0.932911667,9.451494167,8.530418889,40.0,4.0,17.0,1.798657408,35.90473333,1.922616667,16.757812,90.14182521,9.858174785,Wednesday,False,yellow
2019-12-26,4.952556415,,71.0,46.051215,147.0,65.0,,1927.758416,46.0,2.220913056,22.42867992,6.562733889,66.27610091,,,1.118465278,11.29521917,12.08333333,100.0,1.666666667,0.5224725,10.41253194,9.902112222,54.0,7.0,11.0,1.056419328,25.34643333,0.0,17.050781,94.98807373,5.011926268,Thursday,False,yellow
2019-12-27,6.768931907,,73.0,52.77666,161.0,66.0,,2097.339988,62.0,2.203260833,24.37508217,5.967525,66.01983297,,,0.8682025,9.605084861,12.46666667,100.0,2.366666667,1.077301111,10.10331222,9.038988333,72.0,4.0,21.0,2.078526283,45.91833333,0.0,16.083984,89.35082752,10.64917248,Friday,False,yellow
2019-12-28,5.315680683,,72.0,51.809378,161.0,75.0,,1751.0446,52.0,1.849242778,24.0539929,5.283544444,68.72561142,,,0.555095556,7.220395675,12.23333333,99.0,3.916666667,0.636910833,8.315285,7.687882778,78.0,3.0,17.0,2.044427822,36.43343333,1.44195,16.464844,92.34922975,7.650770254,Saturday,False,yellow
2019-12-29,11.09346584,,77.0,60.640547,158.0,65.0,,2367.867173,71.0,2.467445278,23.47794062,6.811672222,64.81361001,,,1.230515,11.70844937,13.66666667,100.0,2.516666667,0.652953611,11.14846389,10.5096325,74.0,7.0,14.0,1.255778387,29.25573333,0.0,16.171875,94.15051669,5.849483306,Sunday,False,green
2019-12-30,5.514065334,,68.0,52.828114,168.0,75.0,,1819.547518,54.0,1.945505556,20.32974215,6.764330556,70.68450439,,,0.859914167,8.98575346,13.26666667,100.0,3.016666667,0.691461389,10.24830889,9.569750278,83.0,5.0,13.0,1.268501969,28.24633333,0.0,17.34375,93.26140605,6.738593953,Monday,False,yellow
2019-12-31,8.585785211,,76.0,52.087653,157.0,65.0,,1964.873859,70.0,1.528649444,20.04914267,4.817487222,63.18419764,,,1.278376111,16.7666597,13.4,98.0,5.033333333,0.740926944,8.354805556,7.624512778,73.0,4.0,11.0,1.316607541,23.00718333,0.945283333,15.292969,91.14300062,8.856999381,Tuesday,False,green
